Id,Neighborhood,Population
404,District 1,187435
408,District 2,140621
409,District 3,188945
410,District 4,183261
411,District 5,174154
412,District 6,253474
413,District 7,274828
414,District 8,418961
415,District 9,263486
405,District 10,23245
406,District 11,232536
407,District 12,427083
400,Go Vap,548145
416,Tan Binh,430436
417,Tan Phu,407924
397,Binh Thanh,470054
403,Phu Nhuan,175175
418,Thu Duc,455899
396,Binh Tan,595335
398,Cu Chi,355822
401,Hoc Mon,35864
395,Binh Chanh,447291
402,Nha Be,103793
399,Can Gio,70697
